Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Data Analyst,Seven Consultancy (HR Solution),work from office,Chennai,3-8 Yrs,300000 - 600000,Assist the Data scientist in development of new analytical tools and methods as and whe...,Procurement Data science big Data analytics Analytical Data collection big Data Analyst Consultancy Management,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-seven-consultancy-hr-solution-3-to-8-years-280322501502
Data Analyst,Technogen Inc,work from office,Chennai,5-7 Yrs,300000 - 600000,Work closely with Business users to understand their Data analysis needsrequirements...,Microstrategy Data analysis Data management Gap analysis Data quality Visio Business intelligence SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-technogen-inc-5-to-7-years-221122501553
Data Analyst,Photon Infotech P Ltd,work from office,Chennai,2-5 Yrs,300000 - 600000,High-level experience in methodologies and processesmanaging large-scale Databases,MicroStrategy Python Tableau analytical R SQL IT Skills Analytical skills,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-photon-infotech-p-ltd-2-to-5-years-010322500812
Data Analyst,Seven Consultancy (HR Solution),work from office,Chennai,3-8 Yrs,300000 - 600000,Assist the Data scientist in development of new analytical tools and methods as and whe...,Procurement Analytical Data collection Database big Data Analyst Management Research Data mining,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-seven-consultancy-hr-solution-3-to-8-years-280322501313
Data Analyst,Chryselys,work from office,Chennai,2-4 Yrs,300000 - 600000,Work in collaboration with internal and client s team to address key Business problems ...,Data analysis Reltio analytical Informatica Tableau communication SQL Python,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-chryselys-2-to-4-years-261022501648
Data Analyst,VR Careerz,work from office,Chennai,3-8 Yrs,300000 - 600000,Proven experience as a Data Analyst or Business Data Analyst (Excel SPSS SAS etc),Business objects Data analysis Coding XML Javascript HR Business intelligence Internship,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-vr-careerz-3-to-8-years-180822502513
Data Analyst,Zero Gravity Photography,work from office,Chennai,3-8 Yrs,300000 - 600000,Use statistical methods to analyze Data and generate useful Business reports Work with ...,Data analysis Business reporting Data Analyst Management,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-zero-gravity-photography-3-to-8-years-080922501314
Data Analyst,Rarr Technologies,work from office,Chennai,5-8 Yrs,300000 - 600000,Proven self-motivation to take initiative and master new tasks quickly Experience in da...,Data analysis Power BI Confluence MS Office written Big Data verbal communication Data Visualization,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-rarr-technologies-mumbai-pune-5-to-8-years-060722502119
Data Analyst - Digital Ad Ops,iOPEX,work from office,Chennai,4-9 Yrs,300000 - 600000,Experience with fundamental web technology & aptitude to expand technical skills -- inc...,Social media MySQL Debugging Data Analyst Business intelligence Troubleshooting Analytics SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-digital-ad-ops-iopex-technologies-pvt-ltd-bangalore-bengaluru-4-to-9-years-171022500134
Data Analyst - Subscription Management,Urjanet Energy Solutions,work from office,Chennai,0-3 Yrs,300000 - 600000,Should possess good communication analytical skills team interaction and proficiency ...,MS Excel SQL queries communication Data analysis Pivots analytical Excel Analog,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-subscription-management-urjanet-0-to-3-years-101122500208
Data Analyst,Manpowergroup Services India,work from office,Coimbatore,4-9 Yrs,300000 - 600000,Requirements : 5 to 8 years exp with 4+Years Relavent python(Pref)R Tableau(Visual...,Python Data Analytics Tableau Statistical Data Analysis Python Visualisation Presentation R Statistics,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-coimbatore-python-tableau-statistics-4-to-8-years-exp-manpowergroup-services-india-coimbatore-4-to-9-years-291122013528
Data AnalystModeler,Rarr Technologies,work from office,Chennai,6-8 Yrs,300000 - 600000,6-8 year Oracle PLSQL Stored procedure development and Data modelling. Performance tuni...,Query tuning Data modelling Performance tuning Oracle PLSQL Stored procedure development PL SQL SQL Query writing SQL queries,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-modeler-rarr-technologies-mumbai-pune-bangalore-bengaluru-6-to-8-years-060722502120
Data Analyst-SR,Atlas Systems,work from office,Chennai,3-8 Yrs,300000 - 600000,Experienced software professional with 5 years of experience in Data analytics Hands on...,Excel pivot tables SQL Data analytics Report generation Data manipulation Process improvement Software Professional,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-sr-a-t-l-a-s-systems-pvt-ltd-3-to-8-years-221022500712
Data Analytics Manager,Seven Consultancy (HR Solution),work from office,Chennai,3-8 Yrs,300000 - 600000,JOB DETAILS 1.Lead and develop a team of Data Analysts. 2.Build and maintain relationsh...,Executive leadership Data analysis Data science big Data analytics Process improvement Data collection Consultancy microsoft,30+ Days Ago,https:www.naukri.comjob-listings-Data-analytics-manager-seven-consultancy-hr-solution-3-to-8-years-280322501317
Data Engineer,Gvw Technologies,Hybrid,Chennai,3-6 Yrs,300000 - 600000,Masters degree preferred,Data Engineering Data engineer Python SQL Data Analytics ETL,15 Days Ago,https:www.naukri.comjob-listings-Data-engineer-gvw-technologies-bangalore-bengaluru-3-to-6-years-151222008726
Data Engineer _AWS,Tiger Analytics,work from office,Chennai,0-4 Yrs,300000 - 600000,Design and build scalable Data ingestion pipelines to handle real-time streams CDC eve...,big Data analytics Debugging Data processing AWS Analytics Monitoring,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-aws-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-0-to-4-years-270722501088
Data Engineer Data Analyst,Gvw Technologies,Hybrid,Chennai,2-4 Yrs,300000 - 600000,performs Data analysis required to troubleshoot Data related issues and assist in the r...,Pyspark Python SQL Azure Data Factory Azure Databricks modelling Spark PostgreSQL,10 Days Ago,https:www.naukri.comjob-listings-Data-engineer-Data-Analyst-gvw-technologies-2-to-4-years-201222007213
Data Insight & Visualization Analyst,Ford,work from office,Chennai,2-7 Yrs,300000 - 600000,Programming experience in languages like Java C C++ with the understanding of object...,QlikView QlikSense Power BI SQL,16 Days Ago,https:www.naukri.comjob-listings-Data-insight-visualization-Analyst-ford-2-to-7-years-131222011485
