Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Data Analyst - Python Artificial Intelligence,ImindyourBusiness,work from office,Chennai,0-2 Yrs,600000 - 1000000,Candidates must have ability to work from home and also in a position to use their pers...,Data Analyst Python SQL server VBA Advanced Excel C++ Data Science Artificial Intelligence,6 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-python-artificial-intelligence-imindyourBusiness-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-0-to-2-years-231222910826
Data Analyst - Python Pandas,Career Infosystem,work from office,Chennai,2-4 Yrs,600000 - 1000000,Develop and coordinate the design development and integrationWealth and Trust app...,Data Analysis Airflow Azure Cloud Pandas SME Python,1 Day Ago,https:www.naukri.comjob-listings-Data-Analyst-python-pandas-career-infosystem-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-4-years-291222906538
Data Analyst - Python Power BI,Huquo Consulting Pvt. Ltd,work from office,Chennai,5-10 Yrs,600000 - 1000000,Min 5+ years of relevant experience in understanding applications from end-to-end persp...,Data Analysis Business Requirement Document Data Engineering Power BI Data quality management Tableau SDLC SQL,6 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-python-power-bi-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-5-to-10-years-231222912861
Data Analyst - Python Power BI,Huquo Consulting Pvt. Ltd,work from office,Chennai,5-10 Yrs,600000 - 1000000,Min 5+ years of relevant experience in understanding applications from end-to-end persp...,Python DQM Power BI Pandas Tableau agile Data mapping ETL,1 Day Ago,https:www.naukri.comjob-listings-Data-Analyst-python-power-bi-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-5-to-10-years-291222003337
Data Analyst - Supply Chain,Logitech G,work from office,Chennai,2-5 Yrs,600000 - 1000000,For consideration you must bring the following minimum You have at least a first profe...,Supply chain Process automation advanced analytics Machine learning Data Analyst Business strategy Analytics SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-supply-chain-logitech-g-2-to-5-years-311022500710
Data Analyst (tableaupower B.I) consultant,Anicalls,work from office,Chennai,5-8 Yrs,600000 - 1000000,Must be able to manage multiple tasks in a fast-paced dynamic work environment Experie...,tableau SAS Data management Cognos Data collection Data Analyst Scheduling Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-tableau-power-b-i-consultant-anicalls-5-to-8-years-310322503594
Data Analyst ,HEPL Cavin Infotech a part of CavinKare Group,work from office,Chennai,4-9 Yrs,600000 - 1000000,Statistical modelling SQL Machine Learning Large scale Data Analysis - using any too...,machine learning sql Data Analysis TSQL Python Power BI Power Query DAX,30 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-lead-Data-Analyst-immediate-joiner-hepl-cavin-infotech-a-part-of-cavinkare-group-bangalore-bengaluru-4-to-9-years-301122009099
Data Analyst RCM,L A Consultancy,work from office,Chennai,3-6 Yrs,600000 - 1000000,Candidates with Any graduation having 3+ yrs working experienceSkills: Proficient with ...,Revenue Cycle Analytics Spotfire Data analysis Excel Data modeling Power BI Data mining predictive analytics,8 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-rcm-l-a-consultancy-kochi-cochin-hyderabad-secunderabad-pune-bangalore-bengaluru-delhi-ncr-3-to-6-years-221222909452
Data Analyst RCM,L A Consultancy,work from office,Chennai,3-6 Yrs,600000 - 1000000,Candidates with Any graduation having 3+ yrs working experienceProficient with RCPA too...,Data analysis Excel Tableau Pivot tables Power Query Revenue Cycle Analysis SQL Auditing,7 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-rcm-l-a-consultancy-kochi-cochin-hyderabad-secunderabad-pune-bangalore-bengaluru-delhi-ncr-3-to-6-years-221222912572
Data Analyst(Product Manager),InvictusData,work from office,Chennai,3-8 Yrs,600000 - 1000000,s & ResponsibilitiesWork with Business management to prioritize Business and inform...,Business Intelligence SQL Data Warehousing hive Analytical Skills Business Analysis Communication Skills exploratory Data analysis,27 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-product-manager-invictusData-3-to-8-years-031222005977
Data AnalystMIS Support - IB,Innovations Head Hunting Service,work from office, Salem,3-6 Yrs,600000 - 1000000,Job Profile :- - Liaison with Gov Entities - Embassy - Chamber of Commerce - Vendors fo...,Data analysis MIS O365 Data collection Data Analyst Task management,22 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-mis-support-ib-innovations-head-hunting-service-noida---salem-gurgaon-gurugram--delhi-ncr-3-to-6-years-081222906741
Data Analytics Consultant - RSQLAWS,Hashtag Global Solutions,Temp.WFH,Chennai,4-9 Yrs,600000 - 1000000,Overall IT experience - 4 to 12 years R Studio and R Shiny experience - 1 to 3 years Ex...,SQL Data analysis Data Engineering Snowflake AWS ,30 Days Ago,https:www.naukri.comjob-listings-Data-analytics-consultant-r-sql-aws-hashtag-global-solutions-pune-jaipur-bangalore-bengaluru-4-to-9-years-301122911003
Data Analytics Engineer - Terraform,Telamon HR Solutions,work from office,Chennai,5-10 Yrs,600000 - 1000000,6-10 yrs of experience with AWS Glue Data Catalog Crawlers Athena Quick Sigths Gitl...,AWS Terraform Athena Gitlab Crawlers AWS Glue Data Catalog Quick Sigths Data Analytics,30+ Days Ago,https:www.naukri.comjob-listings-Data-analytics-engineer-terraform-telamon-hr-solutions-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-291122912857
Data Analytics Platform Engineer,Iaastha,work from office,Chennai,0-4 Yrs,600000 - 1000000,This job requires core computer science background Only candidates who are very intere...,RDMBS Python NoSql NodeJs GeoSpatial MEAN stack Temporal DB ,2 Days Ago,https:www.naukri.comjob-listings-Data-analytics-platform-engineer-iaastha-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-4-years-281222905518
Data Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Education: BachelorsMasters degree in quantitative fields (Statistics Operations Re...,Machine Learning Elasticsearch Data Management Big Data Kafka Flume Data Analytics Statistics,3 Days Ago,https:www.naukri.comjob-listings-Data-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-2-years-261222909284
Data Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Education: BachelorsMasters degree in quantitative fields (Statistics Operations Re...,Tensorflow Data Management Big Data Data Analytics Machine Learning Statistics Analytics SQL,17 Days Ago,https:www.naukri.comjob-listings-Data-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-2-years-121222909700
Data Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Education: BachelorsMasters degree in quantitative fields (Statistics Operations Re...,API development ElasticSearch Data Management Big Data Kafka Flume Data Analytics Machine Learning,23 Days Ago,https:www.naukri.comjob-listings-Data-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-2-years-071222911452
Data Engineer,Rently Software Development,work from office,"Chennai, Coimbatore ",4-6 Yrs,600000 - 1000000,Must have: Overall experience of 4+ years Experience in AWS Cloud services & solutions ...,AWS apache spark ETL SQL,14 Days Ago,https:www.naukri.comjob-listings-Data-engineer-rently-software-development-coimbatore-bangalore-bengaluru-4-to-6-years-161222010513
Data Engineer - BI,Tiger Analytics,work from office,Chennai,0-4 Yrs,600000 - 1000000,Responsibilities Translate Business needs to technical specifications Design build and...,Performance tuning Business analysis Analytical power bi Data analytics Unit testing Business intelligence Troubleshooting,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-bi-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-0-to-4-years-270722501123
Data Engineer - ETL,Tiger Analytics,work from office,Chennai,4-9 Yrs,600000 - 1000000,A passionwriting high-quality code (Python) and experience in Unix shell scripting...,Data analysis Architecture Consulting Manager Technology Deployment Silicon Unit testing Data warehousing,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-etl-tiger-analytics-hyderabad-secunderabad-4-to-9-years-181122502227
Data Engineer - Power BI,Tiger Analytics,work from office,Chennai,5-10 Yrs,600000 - 1000000,Adept understanding of any of the cloud services is preferred (Azure)5+ years of experi...,Performance tuning Data science Analytical Consulting power bi Silicon Data analytics Unit testing,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-power-bi-tiger-analytics-hyderabad-secunderabad-5-to-10-years-221022500687
Data Engineer - Python,BNP Paribas,work from office,Chennai,2-7 Yrs,600000 - 1000000,Strong knowledge of Power BITableau and MS excel Bachelor or Master or Computer Scie...,Front office Analytical Data processing power bi Data analytics Oracle Operations Financial services,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-python-bnp-paribas-2-to-7-years-101122501618
Data Engineer - Snowflake DB Python,Zorba Consulting India Pvt. Ltd.,work from office,Chennai,6-11 Yrs,600000 - 1000000,We are lookinga Data Engineer with minimum7 years full time experienceclient ...,Java SaaS J2EE Spring Boot React.js Data Engineering Snowflake Python,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-snowflake-db-python-zorba-consulting-india-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-6-to-11-years-291122909585
Data Engineer _GCP,Tiger Analytics,work from office,Chennai,1-5 Yrs,600000 - 1000000,Design and build scalable Data ingestion pipelines to handle real-time streams CDC eve...,GCP big Data analytics Debugging Data processing Analytics Monitoring,30+ Days Ago,https:www.naukri.comjob-listings-Data-engineer-gcp-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-1-to-5-years-270722501087
Data Insights Analyst,Chryselys,work from office,Chennai,2-4 Yrs,600000 - 1000000,Extensive experience in building Data pipelines Data Lake architecture using AWS servi...,IT Skills Python Data Science Cloud AWS Tableau Data cleansing Data analysis,30+ Days Ago,https:www.naukri.comjob-listings-Data-insights-Analyst-chryselys-gurgaon-gurugram-2-to-4-years-261022501649
Data Modeler Business System Analyst,Xome,work from office,Chennai,1-4 Yrs,600000 - 1000000,Experience in Understanding Business requirement and translating them in to the detaile...,Business System Analyst Warehouse TranslationProduct portfolio Diversity and Inclusion Agile methodology Information technology Data warehousing,30+ Days Ago,https:www.naukri.comjob-listings-Data-modeler-Business-system-Analyst-xome-1-to-4-years-180822501846
Data PM,Integrated Personnel Services,work from office,Chennai,4-8 Yrs,600000 - 1000000,DWH & ETL experience is a must (or) She should be a senior Data Analyst in ecommerce...,Business process Analytical Schema Data Analyst hr outsourcing Management IPS digital transformation,30+ Days Ago,https:www.naukri.comjob-listings-Data-pm-integrated-personnel-services-private-limited-4-to-8-years-011122501382
Data Science,Xome,work from office,Chennai,4-9 Yrs,600000 - 1000000,Collaborate with stakeholders Business unitProduct owners development teams to under...,Data analysis tableau Data science Diversity and Inclusion Cloud Relationship Programming Information technology,30+ Days Ago,https:www.naukri.comjob-listings-Data-science-xome-4-to-9-years-080922501631
Data Science Manager,Isha Foundation,work from office,Coimbatore,5-7 Yrs,600000 - 1000000,Prepare a summary of resultsin-house discussion and take feedback wheneverwhere...,Data analysis SAS SQL Analytical Business Economics Machine learning power bi model development Predictive modeling,30+ Days Ago,https:www.naukri.comjob-listings-Data-science-manager-isha-foundation-coimbatore-5-to-7-years-080822500554
Data Science Professional,CliqHR Recruitment Services,work from office,Chennai,3-8 Yrs,600000 - 1000000,Experience of 3-8 years in Data Analytics and a mandatory 2-3 years in RetailCPG Ana...,Data Science Python communication analytical Azure Ski Pandas HTML,30+ Days Ago,https:www.naukri.comjob-listings-Data-science-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-delhi-ncr-3-to-8-years-291122904892
Data Science Professional,CliqHR Recruitment Services,work from office,Chennai,3-8 Yrs,600000 - 1000000,Skills Required-Required Skills:Experience of 3-8 years in Data Analytics and a mandato...,Data Science Ski Data Analytics Numpy analytical PowerPoint Azure communication,30+ Days Ago,https:www.naukri.comjob-listings-Data-science-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-delhi-ncr-3-to-8-years-291122904889
Data Scientist,Kovai Systems India Private Limited,work from office,Coimbatore,1-2 Yrs,600000 - 1000000,Exposure to cloud technology is preferred (Azure) Proven working experience of 1-2 year...,Azure ML analytical JuPyteR Azure verbal written communication SQL Tensorflow,2 Days Ago,https:www.naukri.comjob-listings-Data-scientist-kovai-systems-india-private-limited-coimbatore-1-to-2-years-281222502059
Data Scientist,Symbiance Pharma,work from office,Chennai,5-10 Yrs,600000 - 1000000,We are lookinga Data Scientist with hands on experience in Python Machine Learnin...,Data science python Software Development machine learning,10 Days Ago,https:www.naukri.comjob-listings-Data-scientist-symbiance-pharma-5-to-10-years-201222908149
Data Scientist,Kovai Systems India Private Limited,work from office,Coimbatore,1-5 Yrs,600000 - 1000000,Exposure to cloud technology is preferred (Azure) Proven working experience of 2-3 year...,python Statistics Algorithm Development Probability,16 Days Ago,https:www.naukri.comjob-listings-Data-scientist-kovai-systems-india-kovai-systems-india-private-limited-coimbatore-1-to-5-years-141222011903
Data Scientist,Chargeback Gurus,work from office,Chennai,4-8 Yrs,600000 - 1000000,Programming - Python Programming Python Libraries - Pandas Numpy Scipy (stats) skle...,deep learning cnn python rnn machine learning Data processing,22 Days Ago,https:www.naukri.comjob-listings-Data-scientist-chargeback-gurus-4-to-8-years-081222006756
Data Scientist,Revol Process Solutions,work from office,Chennai,5-10 Yrs,600000 - 1000000,Must have experience in various algorithmic solutions spanning across different types o...,Biometrics Text mining Computer vision NoSQL Machine learning SCALA MongoDB Natural language processing,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-revol-process-solutions-5-to-10-years-240822501615
Data scientist,Diverse Lynx,work from office,Chennai,2-7 Yrs,600000 - 1000000,Be hands-on where required and lead from the front in following best practices in devel...,learning OpenCV Azure Deep Learning Transfer Learning Python coding machine learning TensorFlow,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-diverse-lynx-2-to-7-years-101122500792
Data Scientist - Data Mining,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,600000 - 1000000,Statistics - Good applied statistical skills including knowledge of statistical tests...,Data Visualization Tools Java C++ Data Wrangling Scala Data Mining Machine Learning SQL,2 Days Ago,https:www.naukri.comjob-listings-Data-scientist-Data-mining-huquo-consulting-pvt-ltd-noida-bangalore-bengaluru-3-to-8-years-271222911477
Data Scientist - Engine Algorithm,Primo Hiring,work from office,Chennai,1-3 Yrs,600000 - 1000000,Experience with exploratory Data analysis statistical analysis and testing and model...,statistical analysis Computer science Data analysis Operations research Machine learning model development Data visualization SQL,6 Days Ago,https:www.naukri.comjob-listings-Data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-231222911559
Data Scientist - Engine Algorithm,Primo Hiring,work from office,Chennai,1-3 Yrs,600000 - 1000000,Experience with exploratory Data analysis statistical analysis and testing and model...,statistical analysis Hive Spark Data analysis R SQL Python Computer science,6 Days Ago,https:www.naukri.comjob-listings-Data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-231222911305
Data Scientist - R Python,Okda Solutions,Temp.WFH,Chennai,4-7 Yrs,600000 - 1000000,Permanently work from homeUS SHIFT 3:00 PM TO 12:00 AM IST Bachelors degree in computer...,Python Data structures analytical communication ML frameworks Java Data modeling R code,2 Days Ago,https:www.naukri.comjob-listings-Data-scientist-r-python-okda-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-7-years-281222907055
Data Scientist - R Python,Okda Solutions,Temp.WFH,Chennai,4-7 Yrs,600000 - 1000000,Permanently work from homeUS SHIFT 3:00 PM TO 12:00 AM IST Bachelors degree in computer...,Python Data Science Java R Data Scientist Artificial Intelligence Data Management Data Modeling,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-r-python-okda-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-7-years-291122913345
Data Scientist (NLP),Anicalls,work from office,Chennai,5-10 Yrs,600000 - 1000000,Strong Java development experience would be preferredExperience with machine learning f...,Data structures Python Keras statistical analysis java UIMA SQL machine learning frameworks,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-nlp-anicalls-5-to-10-years-250322500775
Data Scientist 2,Paypal,work from office,Chennai,5-7 Yrs,600000 - 1000000,Bachelor sMaster s degree in a quantitative field (such as Analytics Statistics Ma...,Analytical Data mining TeraData Analytics Financial services MonitoringProduct Marketing Reporting tools,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-2-paypal-holdings-inc-5-to-7-years-281022501946
Data Scientist 2,Xoom,work from office,Chennai,5-7 Yrs,600000 - 1000000,BachelorsMasters degree in a quantitative field (such as Analytics Statistics Math...,Analytical Data mining TeraData Analytics Financial services MonitoringProduct Marketing Reporting tools,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-2-xoom-inc-5-to-7-years-281022501072
Data Testing,Revol Process Solutions,work from office,Chennai,8-12 Yrs,600000 - 1000000,Qualification: B.E B.Tech M.E M.Tech M.C.A We are lookingData quality Analysts...,Data analysis Google Analytics Linux MySQL Machine learning Data quality Data visualization Oracle,30+ Days Ago,https:www.naukri.comjob-listings-Data-testing-revol-process-solutions-8-to-12-years-250822501991
EngineerSr.Engineer - AIML Engineer,Cloud Destinations,work from office,"Chennai, Coimbatore ",1-5 Yrs,600000 - 1000000,Experience in Statistics Anomaly detection and signal processing time-series Data ana...,Pytorch MXNet PowerBI Grafana Tableau Caffe TensorFlow SQL,20 Days Ago,https:www.naukri.comjob-listings-engineer-sr-engineer-ai-ml-engineer-cloud-destinations-coimbatore-1-to-5-years-091222500672
ERP (BaanSymix) - Senior Business Analyst,Flowserve,work from office,Chennai,5-7 Yrs,600000 - 1000000,Extract required Data from ERP or other IT systemsShould possess high level of affinity...,SAP BPC ERP Data analysis Baan Publishing Business Analyst Oracle MS Office,30+ Days Ago,https:www.naukri.comjob-listings-erp-baan-symix-senior-Business-Analyst-flowserve-corporation-pvt-ltd-5-to-7-years-161122500570
Functional Consultant - MS Dynamics 365,Yo HR Consultancy,work from office,Chennai,3-5 Yrs,600000 - 1000000,Good spoken and written English,C# Java Full Stack Javascript PHP Data analysis Data migration Functional Analyst,30+ Days Ago,https:www.naukri.comjob-listings-functional-consultant-ms-dynamics-365-yo-hr-consultancy-bangalore-bengaluru-3-to-5-years-291122909563
GIS Analyst - Photogrammetry Image Processing,Okda Solutions,Temp.WFH,Chennai,1-3 Yrs,600000 - 1000000,Experience in Handling Point Cloud DataClassification and Measurement Analytics Go...,Image Processing GIS Arcpy Data Analysis Data Analytics Photogrammetry Python ,30+ Days Ago,https:www.naukri.comjob-listings-gis-Analyst-photogrammetry-image-processing-okda-solutions-1-to-3-years-291122913269
GIS Analyst - Photogrammetry Image Processing,Okda Solutions,Temp.WFH,Chennai,1-3 Yrs,600000 - 1000000,Experience in Handling Point Cloud DataClassification and Measurement Analytics Go...,Python Analytical written communication Data Capturing verbal GIS ArcGIS Arcpy,2 Days Ago,https:www.naukri.comjob-listings-gis-Analyst-photogrammetry-image-processing-okda-solutions-1-to-3-years-281222907074
GIS Analyst - Photogrammetry Image Processing,Okda Solutions,Temp.WFH,Chennai,1-3 Yrs,600000 - 1000000,Experience in Handling Point Cloud DataClassification and Measurement Analytics Go...,Photogrammetry written communication Data Capturing Analytical verbal Python GIS R&D,29 Days Ago,https:www.naukri.comjob-listings-gis-Analyst-photogrammetry-image-processing-okda-solutions-1-to-3-years-301122916894
GIS Analyst - Photogrammetry Image Processing,Okda Solutions,Temp.WFH,Chennai,1-3 Yrs,600000 - 1000000,Experience in Handling Point Cloud DataClassification and Measurement Analytics Go...,Cold calling Networking Bfsi Social media Market research written communication Data Capturing Analytical,30+ Days Ago,https:www.naukri.comjob-listings-gis-Analyst-photogrammetry-image-processing-okda-solutions-1-to-3-years-291122908243
GTC - Mech - Engineer,Valeo,work from office,Chennai,2-5 Yrs,600000 - 1000000,5 years experience in Reliability Engineering,Automation Mechatronics Data analysis Data science Mechanical Database Reliability engineering E-commerce,3 Days Ago,https:www.naukri.comjob-listings-gtc-mech-engineer-valeo-india-pvt-ltd-2-to-5-years-271222501947
IM Advisor,Shell,work from office,Chennai,5-8 Yrs,600000 - 1000000,D Management Framework practices and understands what is required to implement them eff...,Data Analysis Business Analysis project management Data management Records Management ,29 Days Ago,https:www.naukri.comjob-listings-im-advisor-shell-india-markets-private-limited-bangalore-bengaluru-5-to-8-years-171122908362
Data Analyst Business Intelligence,J&F Projects India,work from office,Chennai,2-6 Yrs,600000 - 1000000,Must be Data-driven with strong problem solving and analytical skills Bachelor s degree...,sql Tableau communication analytical Kimball methodology Python R Business Intelligence,30+ Days Ago,https:www.naukri.comjob-listings-immediate-opportunity-for-Data-Analyst-Business-intelligence-j-f-projects-india-bangalore-bengaluru-2-to-6-years-281122010069
Industry Consultant: Industry.Banking,IBM,work from office,Chennai,6-10 Yrs,600000 - 1000000,As Business Analyst you are required to work under Regulatory Reporting streamsTR...,Data analysis Process improvement Consulting Back office Financial services Operational risk Business analysis Problem management,23 Days Ago,https:www.naukri.comjob-listings-industry-consultant-industry-banking-ibm-india-pvt-limited-6-to-10-years-071222907140
Informatica Developer,HYDBNG,Hybrid,Chennai,5-10 Yrs,600000 - 1000000,We are lookingInformatica Developer with Experience 5-15 yrsHyderabadBangalo...,teraData Data Warehousing ETL informatica SQL communication Data analysis Data mining,22 Days Ago,https:www.naukri.comjob-listings-informatica-developer-tech-mahindra-hyd-bng-tech-mahindra-hyderabad-secunderabad-pune-bangalore-bengaluru-5-to-10-years-021122012509
Insights Analyst,Transunion,work from office,Chennai,5-7 Yrs,600000 - 1000000,Bachelors in quantitative fields such as Statistics Math or Analytics BI related fiel...,verbal Tableau Python written communication SPSS R Javascript Data analysis,30+ Days Ago,https:www.naukri.comjob-listings-insights-Analyst-transunion-software-services-pvt-ltd-5-to-7-years-280922501111
Lead Analytics Consultant,Pepplo Consulting,work from office,Chennai,3-6 Yrs,600000 - 1000000,Strong experience with Data integration Database structures & Data warehouse,Data Science Power Bi SAS Programming SQL,14 Days Ago,https:www.naukri.comjob-listings-lead-analytics-consultant-pepplo-consulting-hyderabad-secunderabad-3-to-6-years-161222009927
Lead Assistant Manager,EXL,work from office,Chennai,4-15 Yrs,600000 - 1000000,Writes and interprets technical specificationsroadmap & other projects as require...,SAS SQL risk Data analysis Claims Pharmacy Corporate Infrastructure,30+ Days Ago,https:www.naukri.comjob-listings-lead-assistant-manager-exl-services-com-i-pvt-ltd-united-states-usa-4-to-15-years-241122501890
Lead Assistant Manager Analytics,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-6 Yrs,600000 - 1000000,Have also experience in Either SAS or SQL (Mandatory) Have Good Communication Skills,Campaign Management Data analysis Statistical analysis SAS Analytical Performance analysis Operations Analytics,3 Days Ago,https:www.naukri.comjob-listings-lead-assistant-manager-senior-manager-campaign-management-analytics-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-6-years-261222908712
Lead Business Analyst,Talent Zone Consultant,work from office,Chennai,5-11 Yrs,600000 - 1000000,Forming partnerships with senior Business stakeholders across Businesses to comprehensi...,Business reporting KPI Analytical Lead Business Analyst Manager Technology Data Analyst Technical documentation ,30+ Days Ago,https:www.naukri.comjob-listings-lead-Business-Analyst-talent-zone-consultant-5-to-11-years-180321501768
Lead Data Analyst,BNY Mellon,work from office,Chennai,4-6 Yrs,600000 - 1000000,Bachelors degree in computer science or a related discipline or equivalent work experi...,Database design Data modeling Reconciliation Representative Distribution system Data warehousing Monitoring Financial services,30+ Days Ago,https:www.naukri.comjob-listings-lead-Data-Analyst-bny-mellon-international-operations-india-4-to-6-years-291122500441
Lead Data Management Analyst,BNY Mellon,work from office,Chennai,4-6 Yrs,600000 - 1000000,Bachelors degree in computer science or a related discipline or equivalent work experi...,Database design Data modeling Reconciliation Data management Analyst Representative Distribution system Data warehousing Monitoring,30+ Days Ago,https:www.naukri.comjob-listings-lead-Data-management-Analyst-bny-mellon-international-operations-india-4-to-6-years-091122500819
Lead Data Science Engineer - PythonMachine Learning,Huquo Consulting Pvt. Ltd,work from office,Chennai,5-8 Yrs,600000 - 1000000,Good power point presentation skills and excellent team player,Python Linear Regressions Data science Regression R statistical modeling Machine Learning analytical,2 Days Ago,https:www.naukri.comjob-listings-lead-Data-science-engineer-python-machine-learning-huquo-consulting-pvt-ltd-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-5-to-8-years-271222911402
Lead Data Scientist,Geakminds,work from office,Chennai,5-8 Yrs,600000 - 1000000,Experience working in at least one of the cloud platforms preferred: Azure AWS or GCP...,Machine Learning Data mining Data analysis Power BI Tableau Azure SQL python,25 Days Ago,https:www.naukri.comjob-listings-lead-Data-scientist-geakminds-5-to-8-years-051222500207
Lead Data Scientist ,Geak Minds,Temp.WFH,Chennai,4-8 Yrs,600000 - 1000000,Employment: Full time Qualification: Any Graduate Experience working in at least one of...,Machine Learning Python Data mining Data analysis Power BI Tableau Azure SQL,28 Days Ago,https:www.naukri.comjob-listings-lead-Data-scientist-geakminds-geakminds-technologies-private-limited-4-to-8-years-021222004257
Lead Statistical Programmer I,Agati Systems,work from office,Chennai,8-10 Yrs,600000 - 1000000,Minimum 8-10 years of relevant SAS programming experienceall clinical trial phases...,Data analysis Project management Process improvement XML Reconciliation Clinical trials Manager Quality Control Macros,30+ Days Ago,https:www.naukri.comjob-listings-lead-statistical-programmer-i-agati-clinical-informatics-llp-bangalore-bengaluru-8-to-10-years-171122500382
Machine Learning Engineer,Optisol Business Solutions,work from office,"Madurai,Chennai, Coimbatore",1-5 Yrs,600000 - 1000000,As a Machine learning engineer you will be expected to build and deploy Data analysis ...,PyTorch RESTful APIs AWS SageMaker Bitbucket Scikit Learn NoSQL TensorFlow SQL,30+ Days Ago,https:www.naukri.comjob-listings-machine-learning-engineer-opti-sol-solutions-madurai-coimbatore-1-to-5-years-050722500230
Manager Data Science,Tredence,Hybrid,Chennai,7-14 Yrs,600000 - 1000000,Graduate degree in a quantitative field (CS statistics applied mathematics machine l...,Data analysis Data management Machine learning Workflow Predictive modeling Test cases Data visualization Data mining,30+ Days Ago,https:www.naukri.comjob-listings-manager-Data-science-tredence-analytics-solutions-private-limited-gurgaon-gurugram-bangalore-bengaluru-7-to-14-years-270922501592
Sr Consultant- Data Analytics Consulting,Phenom placement,work from office,Chennai,1-6 Yrs,600000 - 1000000,30-40% Travel required on Client LocationsTravel Required : ApproxDomain Expertise Requ...,Data Analytics Data Modelling SAS VBA Data Management Big Data SQL ,30+ Days Ago,https:www.naukri.comjob-listings-manager-assistant-manager-sr-consultant-Data-analytics-consulting-phenom-placement-mumbai-delhi-ncr-bangalore-bengaluru-1-to-6-years-291122913639
